Week,Date
1,31/08/2026
2,07/09/2026
3,14/09/2026
4,21/09/2026
5,28/09/2026
6,05/10/2026
7,12/10/2026
8,19/10/2026
8.1,26/10/2026
9,02/11/2026
10,09/11/2026
11,16/11/2026
12,23/11/2026
13,30/11/2026
14,07/12/2026
15,14/12/2026
15.1,21/12/2026
15.2,28/12/2026
16,04/01/2027
17,11/01/2027
18,18/01/2027
19,25/01/2027
20,01/02/2027
21,08/02/2027
21.1,15/02/2027
22,22/02/2027
23,01/03/2027
24,08/03/2027
25,15/03/2027
26,22/03/2027
26.1,29/03/2027
26.2,05/04/2027
27,12/04/2027
28,19/04/2027
29,26/04/2027
30,03/05/2027
31,10/05/2027
32,17/05/2027
33,24/05/2027
33.1,31/05/2027
34,07/06/2027
35,14/06/2027
36,21/06/2027
37,28/06/2027
38,05/07/2027
39,12/07/2027
40,19/07/2027
